id,reaction,rheaID,reducing_agent,substrates,products,participants,chebis
A0A1D6HSP4,"(3S,6E)-nerolidol + O2 + reduced [NADPH--hemoprotein reductase] = (3E)-4,8-dimethylnona-1,3,7-triene + but-3-en-2-one + H(+) + 2 H2O + oxidized [NADPH--hemoprotein reductase]",RHEA:55424,reduced [NADPH--hemoprotein reductase],"['(3S,6E)-nerolidol']","['(3E)-4,8-dimethylnona-1,3,7-triene', 'but-3-en-2-one']","['(3S,6E)-nerolidol', 'O2', 'reduced [NADPH--hemoprotein reductase]', '(3E)-4,8-dimethylnona-1,3,7-triene', 'but-3-en-2-one', 'H(+)', '2 H2O', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:48058', 'CHEBI:57618', 'CHEBI:58210', 'CHEBI:59958', 'CHEBI:60158']"
A0A2H4DGV8,"germacra-1(10),4,11(13)-trien-12-oate + O2 + reduced [NADPH--hemoprotein reductase] = 8beta-hydroxygermacra-1(10),4,11(13)-trien-12-oate + H(+) + H2O + oxidized [NADPH--hemoprotein reductase]",RHEA:57964,reduced [NADPH--hemoprotein reductase],"['germacra-1(10),4,11(13)-trien-12-oate']","['8beta-hydroxygermacra-1(10),4,11(13)-trien-12-oate']","['germacra-1(10),4,11(13)-trien-12-oate', 'O2', 'reduced [NADPH--hemoprotein reductase]', '8beta-hydroxygermacra-1(10),4,11(13)-trien-12-oate', 'H(+)', 'H2O', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:57618', 'CHEBI:58210', 'CHEBI:61301', 'CHEBI:142464']"
A0A2H4DGV8,"germacra-1(10),4,11(13)-trien-12-oate + O2 + reduced [NADPH--hemoprotein reductase] = 8-epi-inunolide + 2 H2O + oxidized [NADPH--hemoprotein reductase]",RHEA:57968,reduced [NADPH--hemoprotein reductase],"['germacra-1(10),4,11(13)-trien-12-oate']",['8-epi-inunolide'],"['germacra-1(10),4,11(13)-trien-12-oate', 'O2', 'reduced [NADPH--hemoprotein reductase]', '8-epi-inunolide', '2 H2O', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15379', 'CHEBI:57618', 'CHEBI:58210', 'CHEBI:61301', 'CHEBI:142470']"
A0A2H4DGV8,"germacra-1(10),4,11(13)-trien-12-oate + O2 + reduced [NADPH--hemoprotein reductase] = 8alpha-hydroxygermacra-1(10),4,11(13)-trien-12-oate + H(+) + H2O + oxidized [NADPH--hemoprotein reductase]",RHEA:58032,reduced [NADPH--hemoprotein reductase],"['germacra-1(10),4,11(13)-trien-12-oate']","['8alpha-hydroxygermacra-1(10),4,11(13)-trien-12-oate']","['germacra-1(10),4,11(13)-trien-12-oate', 'O2', 'reduced [NADPH--hemoprotein reductase]', '8alpha-hydroxygermacra-1(10),4,11(13)-trien-12-oate', 'H(+)', 'H2O', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:57618', 'CHEBI:58210', 'CHEBI:61301', 'CHEBI:142490']"
A0A2Z5D854,O2 + psoralen + reduced [NADPH--hemoprotein reductase] = H(+) + H2O + oxidized [NADPH--hemoprotein reductase] + xanthotoxol,RHEA:68548,reduced [NADPH--hemoprotein reductase],['psoralen'],['xanthotoxol'],"['O2', 'psoralen', 'reduced [NADPH--hemoprotein reductase]', 'H(+)', 'H2O', 'oxidized [NADPH--hemoprotein reductase]', 'xanthotoxol']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:15709', 'CHEBI:27616', 'CHEBI:57618', 'CHEBI:58210']"
A0A2Z5D854,6-methoxycoumarin + O2 + reduced [NADPH--hemoprotein reductase] = H(+) + H2O + oxidized [NADPH--hemoprotein reductase] + scopoletin,RHEA:68564,reduced [NADPH--hemoprotein reductase],['6-methoxycoumarin'],['scopoletin'],"['6-methoxycoumarin', 'O2', 'reduced [NADPH--hemoprotein reductase]', 'H(+)', 'H2O', 'oxidized [NADPH--hemoprotein reductase]', 'scopoletin']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:17488', 'CHEBI:57618', 'CHEBI:58210', 'CHEBI:178005']"
A0A343URW6,(-)-tabersonine + O2 + reduced [NADPH--hemoprotein reductase] = H(+) + H2O + lochnericine + oxidized [NADPH--hemoprotein reductase],RHEA:61056,reduced [NADPH--hemoprotein reductase],['(-)-tabersonine'],['lochnericine'],"['(-)-tabersonine', 'O2', 'reduced [NADPH--hemoprotein reductase]', 'H(+)', 'H2O', 'lochnericine', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:57618', 'CHEBI:57893', 'CHEBI:58210', 'CHEBI:144374']"
A0A517FNB9,cholesterol + O2 + reduced [NADPH--hemoprotein reductase] = (22S)-22-hydroxycholesterol + H(+) + H2O + oxidized [NADPH--hemoprotein reductase],RHEA:69839,reduced [NADPH--hemoprotein reductase],['cholesterol'],['(22S)-22-hydroxycholesterol'],"['cholesterol', 'O2', 'reduced [NADPH--hemoprotein reductase]', '(22S)-22-hydroxycholesterol', 'H(+)', 'H2O', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:1301', 'CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:16113', 'CHEBI:57618', 'CHEBI:58210']"
A0A517FNC5,"cholesterol + 2 O2 + 2 reduced [NADPH--hemoprotein reductase] = (16S,22S)-dihydroxycholesterol + 2 H(+) + 2 H2O + 2 oxidized [NADPH--hemoprotein reductase]",RHEA:72191,2 reduced [NADPH--hemoprotein reductase],['cholesterol'],"['(16S,22S)-dihydroxycholesterol']","['cholesterol', '2 O2', '2 reduced [NADPH--hemoprotein reductase]', '(16S,22S)-dihydroxycholesterol', '2 H(+)', '2 H2O', '2 oxidized [NADPH--hemoprotein reductase]']","['CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:16113', 'CHEBI:57618', 'CHEBI:58210', 'CHEBI:191938']"
A0A517FNC6,cholesterol + O2 + reduced [NADPH--hemoprotein reductase] = (22S)-22-hydroxycholesterol + H(+) + H2O + oxidized [NADPH--hemoprotein reductase],RHEA:69839,reduced [NADPH--hemoprotein reductase],['cholesterol'],['(22S)-22-hydroxycholesterol'],"['cholesterol', 'O2', 'reduced [NADPH--hemoprotein reductase]', '(22S)-22-hydroxycholesterol', 'H(+)', 'H2O', 'oxidized [NADPH--hemoprotein reductase]']","['CHEBI:1301', 'CHEBI:15377', 'CHEBI:15378', 'CHEBI:15379', 'CHEBI:16113', 'CHEBI:57618', 'CHEBI:58210']"
